month,day
8,"[31]"
9,"[1, 2, 3, 8, 9, 10, 11, 14, 15, 16, 17, 20, 22, 23, 24, 28, 29, 30]"
10,"[1, 2, 5, 6, 7, 8, 9, 12, 13, 14, 15, 16, 19, 20, 21, 22, 23, 26, 27, 28, 29, 30]"
11,"[2, 3, 9, 10, 11, 12, 13, 16, 17, 18, 19, 20, 23, 24, 30]"
12,"[1, 2, 3, 4, 7, 8, 9, 10, 11, 15, 16, 17, 18, 21, 22]"
1,"[4, 5, 6, 7, 8, 11, 12, 13, 14, 15, 19, 20, 21, 22, 25, 26, 27, 28, 29]"
2,"[1, 2, 3, 4, 5, 8, 9, 10, 16, 17, 18, 19, 22, 23, 24, 25, 26]"
3,"[1, 3, 5, 8, 9, 11, 12, 15, 16, 17, 18, 19, 29, 30, 31]"
4,"[1, 2, 5, 6, 7, 8, 9, 12, 13, 14, 15, 16, 19, 20, 21, 22, 23, 26, 27, 28, 29, 30]"
5,"[3, 4, 5, 6, 7, 10, 11, 12, 13, 14, 17, 18, 19, 21, 24, 25, 26, 27, 28]"
6,"[1, 2, 3, 4, 7, 8, 9]"
